"","X","State","ID","Material","Taxa","Type","County","Measured","Mea_SE","Norm","Norm_SE","X13C","SiteID","SiteName","Lat","Long","Strat","Context","AMS_Radio","Comment","Reference","Region","Date","Error","Site_Name"
"2717",53634,"Colorado","Beta-8118","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",1090,60,NA,NA,NA,"5GN1664","Marion",38.668937,-107.013567,NA,"Charcoal  from Feature 21, Hearth B. Unlike the other hearths, this one was poorly defined; meas. ca. 70 x 63 cm, 40 cm deep. Most of charcoal and FCR were in the uppermost 10 cm. At least 12 distinctive types of chert recovered. Identifiable bone: mule deer, pronghorn antelope, and modern bison. Most of bone highly fragmented.",NA,NA,"Jones, 1984; Rossillon, Mary P. (1984)    The Curecanti Project: The Archaeology of Marion, an Historic Railroad Camp in Curecanti National Recreation Area, Colorado.  Midwest Archaeological Center Occasional Studies in Anthropology No. 5, National Park Service, Midwest Archaeological Center, Lincoln, Nebraska.","Plateau",1090,60,"Marion"
"2718",53637,"Colorado","Beta-8121","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",1580,70,NA,NA,NA,"5GN42","Soap Creek",38.668937,-107.013567,NA,"Feature 8, stain (Stiger 2001)",NA,NA,"JONES 1984; Jones, Bruce A.  (1986a)    The Curecanti Archaeological Project: 1981 Investigations in Curecanti National Recreation Area, Colorado.  Midwest Archaeological Center Occasional Studies in Anthropology No. 14, National Park Service, Midwest Archaeological Center, Lincoln, Nebraska.","Plateau",1580,70,"Soap Creek"
"2719",53638,"Colorado","Beta-8122","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",2140,60,NA,NA,NA,"5GN42","Soap Creek",38.668937,-107.013567,NA,"Small shallow pit with FCR (Stiger 2001). F9, small-shallow FCR.",NA,NA,"JONES 1984; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",2140,60,"Soap Creek"
"2721",53640,"Colorado","Beta-85133","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",3384,80,3260,80,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from feature 1. an unlined hearth. general fill",NA,NA,"ROOD 1998","Plateau",3384,80,"Elk Creek Village"
"2722",53641,"Colorado","Beta-85134","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3500,60,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from feature 1a. fill; post mold",NA,NA,"ROOD 1998","Plateau",3500,60,"Elk Creek Village"
"2723",53642,"Colorado","Beta-85135","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3320,70,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from feature 1b. 15cm burnt log",NA,NA,"ROOD 1998","Plateau",3320,70,"Elk Creek Village"
"2724",53643,"Colorado","Beta-85136","CHARCOAL","F4, unlined firepit","ARCHAEOLOGICAL","Gunnison",NA,NA,830,60,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"F4, unlined hearth",NA,NA,"Rood, Ronald J. (1998)    Archaeological Excavations at 5GN2478: Elk Creek Village, Curecanti National Recreation Area, Gunnison County, Colorado.  Report on file, National Park Service, Midwest Archaeological Center, Lincoln.","Plateau",830,60,"Elk Creek Village"
"2725",53644,"Colorado","Beta-85137","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",3545,50,3520,70,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from feature 5a. 15cm burned post",NA,NA,"ROOD 1998","Plateau",3545,50,"Elk Creek Village"
"2726",53645,"Colorado","Beta-85138","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3570,70,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from feature 5a. 15cm burned post",NA,NA,"ROOD 1998","Plateau",3570,70,"Elk Creek Village"
"2727",53646,"Colorado","Beta-85139","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,1370,70,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from Feature 4, structure. Fill. House 6, stain.",NA,NA,"Rood, Ronald J. (1998)    Archaeological Excavations at 5GN2478: Elk Creek Village, Curecanti National Recreation Area, Gunnison County, Colorado.  Report on file, National Park Service, Midwest Archaeological Center, Lincoln.","Plateau",1370,70,"Elk Creek Village"
"2728",53647,"Colorado","Beta-85140","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,2050,60,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"wood from structure. in 'Feature 7'",NA,NA,"Rood, Ronald J. (1998)    Archaeological Excavations at 5GN2478: Elk Creek Village, Curecanti National Recreation Area, Gunnison County, Colorado.  Report on file, National Park Service, Midwest Archaeological Center, Lincoln.","Plateau",2050,60,"Elk Creek Village"
"2729",53648,"Colorado","Beta-85141","WOOD","post","ARCHAEOLOGICAL","Gunnison",NA,NA,4710,60,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"Feature 8, post",NA,NA,"Rood, Ronald J. (1998)    Archaeological Excavations at 5GN2478: Elk Creek Village, Curecanti National Recreation Area, Gunnison County, Colorado.  Report on file, National Park Service, Midwest Archaeological Center, Lincoln.","Plateau",4710,60,"Elk Creek Village"
"2730",53649,"Colorado","Beta-85699","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,7280,90,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 50, unlined hearth.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",7280,90,"Tenderfoot"
"2731",53650,"Colorado","Beta-85700","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,7010,80,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 54. F54, unlined hearth.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",7010,80,"Tenderfoot"
"2733",53652,"Colorado","Beta-85702","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,1750,70,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 57, unlined hearth",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",1750,70,"Tenderfoot"
"2734",53653,"Colorado","Beta-85703","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3530,80,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 58, unlined hearth",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",3530,80,"Tenderfoot"
"2736",53655,"Colorado","Beta-85705","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,6970,60,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 62.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",6970,60,"Tenderfoot"
"2737",53656,"Colorado","Beta-85706","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,7350,100,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 63, unlined hearth.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",7350,100,"Tenderfoot"
"2738",53657,"Colorado","Beta-85707","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,4440,70,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 66, an unlined hearth.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",4440,70,"Tenderfoot"
"2739",53658,"Colorado","Beta-85708","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,2520,80,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 68, unlined hearth.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",2520,80,"Tenderfoot"
"2740",53659,"Colorado","Beta-87717","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3750,70,NA,"5GN000","Van Tuyl Village",38.668937,-107.013567,"level 3","Level 3 midden",NA,NA,"Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",3750,70,"Van Tuyl Village"
"2741",53660,"Colorado","Beta-97298","CHARCOAL","stain","ARCHAEOLOGICAL","Gunnison",NA,NA,1370,70,NA,"5GN396",NA,38.668937,-107.013567,NA,"stain",NA,NA,"Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",1370,70,"5GN396"
"2742",53661,"Colorado","Beta-97299","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,5070,80,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 71, unlined hearth or storage.",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",5070,80,"Tenderfoot"
"2743",53662,"Colorado","Beta-97300","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,7240,100,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 75 posthole",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",7240,100,"Tenderfoot"
"2744",53663,"Colorado","Beta-97301","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3240,60,NA,"5GN2478","Elk Creek Village",38.668937,-107.013567,NA,"Feature 4 midden (structure)",NA,NA,"STIGER 2001; Rood, Ronald J. (1998)    Archaeological Excavations at 5GN2478: Elk Creek Village, Curecanti National Recreation Area, Gunnison County, Colorado.  Report on file, National Park Service, Midwest Archaeological Center, Lincoln.","Plateau",3240,60,"Elk Creek Village"
"2745",53664,"Colorado","Beta-97302","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,3360,80,NA,"5GN000","Van Tuyl Village",38.668937,-107.013567,"level 2","Level 2, midden (structure)",NA,NA,"Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",3360,80,"Van Tuyl Village"
"2746",53665,"Colorado","Beta-97569","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",NA,NA,1780,80,NA,"5GN1835","Tenderfoot",38.668937,-107.013567,NA,"wood charcoal from Feature 77, unlined hearth",NA,NA,"STIGER 1997; Stiger, Mark   (2001)   Hunter-Gatherer Archaeology of the Colorado High Country.  University Press of Colorado, Boulder.","Plateau",1780,80,"Tenderfoot"
"2747",53666,"Colorado","CAMS-105764","BONE","XAD, collagen, Bison antiquus tibia frag, possible tool","ARCHAEOLOGICAL","Gunnison",NA,NA,10440,50,-13.8,"5GN2477","Mountaineer",38.668937,-107.013567,NA,"Block A, from lower fill in structure; found against the back wall, N457.75, E552.25","AMS",NA,"Andrews et al 2021, The Mountaineer Site","Plateau",10440,50,"Mountaineer"
"2748",53667,"Colorado","CAMS-105765","BONE","XAD, collagen, Bison antiquus/ or elk rib frag","ARCHAEOLOGICAL","Gunnison",NA,NA,10295,50,-18,"5GN2477","Mountaineer",38.668937,-107.013567,NA,"Block A, in processing area; lower fill in the structure, N456.8, E551.7","AMS",NA,"Andrews et al 2021, The Mountaineer Site","Plateau",10295,50,"Mountaineer"
"2749",53668,"Colorado","CAMS-1558","BONE","Bootherium bombifrons","PALEONTOLOGICAL","Gunnison",NA,NA,18970,90,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"Stratum II","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",18970,90,"Haystack Cave"
"2750",53669,"Colorado","DIC-1259","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",2000,60,NA,NA,NA,"5GN245",NA,38.668937,-107.013567,NA,"Test pit 9, 15 cm below PGS","RADIOMETRIC",NA,"WOLFF 2011","Plateau",2000,60,"5GN245"
"2751",53670,"Colorado","DIC-1260","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",190,95,NA,NA,NA,"5GN245",NA,38.668937,-107.013567,NA,"Test pit 8, 15 cm below PGS","RADIOMETRIC",NA,"WOLFF 2011","Plateau",190,95,"5GN245"
"2753",53673,"Colorado","PRI-13-91-FS18","CHARCOAL","Pinus","ARCHAEOLOGICAL","Gunnison",NA,NA,5023,24,-23.29,"5GN4093",NA,38.668937,-107.013567,"75-85 cmbd","Hearth 1","AMS",NA,"Kovacik and Cummings 2013- PRI Report 13-91","Plateau",5023,24,"5GN4093"
"2754",53674,"Colorado","PRI-13-91-FS20","CHARCOAL","Pinus","ARCHAEOLOGICAL","Gunnison",NA,NA,4512,23,-23.59,"5GN4093",NA,38.668937,-107.013567,"45-55 cmbd","Hearth 1","AMS",NA,"Kovacik and Cummings 2013- PRI Report 13-91","Plateau",4512,23,"5GN4093"
"2755",53675,"Colorado","Tx-3149","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",8807,100,NA,NA,NA,"5GN191","Kezar Basin",38.668937,-107.013567,NA,"Charcoal from Feature 11, an unlined hearth. No other info.","RADIOMETRIC",NA,"JONES 1996","Plateau",8807,100,"Kezar Basin"
"2756",53677,"Colorado","Tx-3151","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",4697,80,NA,NA,NA,"5GN204",NA,38.668937,-107.013567,NA,"One of 3 dates from Feature 1, Component G, a structure. See also TX-3150 and -3157 (description is with the latter).","RADIOMETRIC",NA,"EULER AND STIGER 1981","Plateau",4697,80,"5GN204"
"2761",53683,"Colorado","Tx-3157","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",4398,90,NA,NA,NA,"5GN204",NA,38.668937,-107.013567,NA,"Feature 1, initially appeared as a semicircular, charcoal-flecked stain ca 3.5 m in dia. The feature is in Component G of GN204/205.. Interpreted as a house: 16 cm deep, basin shaped, with few FSTs, debitage or expediernt tools in the area around the feature (but note GS within the feature). Floor produced numerous firecracked metate frags, which may represent 2 or more slab metates used in construction of floor features, including a hearth. Of significance is the 20+ pounds of burned adobe found in the feavure, some with log impressions, suggesting that the mud was used as chinking or support material in constructing the superstructure. The lack of postholes led the authors to suggest that the structure was cribbed, but this is highly speculative.","RADIOMETRIC",NA,"EULER AND STIGER 1981","Plateau",4398,90,"5GN204"
"2766",53696,"Colorado","Tx-3630","CHARCOAL",NA,"ARCHAEOLOGICAL","Gunnison",4120,90,NA,NA,NA,"5GN10","Willow Creek",38.668937,-107.013567,NA,"wood charcoal from Feature 8 structure. Pine Pole #2","RADIOMETRIC",NA,"STIGER 1981","Plateau",4120,90,"Willow Creek"
"2768",53702,"Colorado","UCIAMS-11240","BONE","XAD, collagen, Bison antiquus? or elk rib frag","ARCHAEOLOGICAL","Gunnison",NA,NA,10380,30,-16.1,"5GN2477","Mountaineer",38.668937,-107.013567,NA,"Block A, bone processing area within the structure; lower fill in structure; N457.75 E552.25","AMS",NA,"Andrews et al 2021, The Mountaineer Site","Plateau",10380,30,"Mountaineer"
"2769",53703,"Colorado","UCIAMS-11241","BONE","XAD, collagen, Bison antiquus humerus frag","ARCHAEOLOGICAL","Gunnison",NA,NA,10445,25,-11.8,"5GN2477","Mountaineer",38.668937,-107.013567,NA,"Block C, N385.75, E603.75","AMS",NA,"Andrews et al 2021, The Mountaineer Site","Plateau",10445,25,"Mountaineer"
"2770",53707,"Colorado","UCIAMS-126399","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,2935,25,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 10 (12)","TP2","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",2935,25,"Cement Creek Cave"
"2771",53709,"Colorado","UCIAMS-137890","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,14210,60,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 1 (3)","TP2","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",14210,60,"Cement Creek Cave"
"2772",53710,"Colorado","UCIAMS-137891","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,1995,20,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 3 (5)","TP2","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",1995,20,"Cement Creek Cave"
"2773",53712,"Colorado","UCIAMS-137893","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,1345,20,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 10 (12)","TP2","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",1345,20,"Cement Creek Cave"
"2774",53727,"Colorado","UCIAMS-53285","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,1300,15,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 2","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",1300,15,"Cement Creek Cave"
"2775",53728,"Colorado","UCIAMS-53286","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,4105,15,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 7","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",4105,15,"Cement Creek Cave"
"2776",53729,"Colorado","UCIAMS-53287","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,3120,15,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 10","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",3120,15,"Cement Creek Cave"
"2777",53730,"Colorado","UCIAMS-53288","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,18040,70,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 16","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",18040,70,"Cement Creek Cave"
"2778",53737,"Colorado","UCIAMS-56844","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,4780,20,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 11","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",4780,20,"Cement Creek Cave"
"2779",53738,"Colorado","UCIAMS-56845","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,6400,20,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 13","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",6400,20,"Cement Creek Cave"
"2781",53743,"Colorado","UCIAMS-87756","BONE","Neotoma cinerea","PALEONTOLOGICAL","Gunnison",NA,NA,4630,15,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 11","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",4630,15,"Cement Creek Cave"
"2782",53744,"Colorado","UCIAMS-87757","BONE","Lepus townsendii","PALEONTOLOGICAL","Gunnison",NA,NA,10230,25,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 15","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",10230,25,"Cement Creek Cave"
"2783",53745,"Colorado","UCIAMS-87758","BONE","Lepus americanus","PALEONTOLOGICAL","Gunnison",NA,NA,7035,20,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 14","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",7035,20,"Cement Creek Cave"
"2784",53746,"Colorado","UCIAMS-87759","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,17620,100,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"I3b, level 9","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",17620,100,"Haystack Cave"
"2787",53749,"Colorado","UGAMS-10615","BONE","Microtus pennsylvanicus","PALEONTOLOGICAL","Gunnison",NA,NA,25740,70,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 14","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",25740,70,"Cement Creek Cave"
"2788",53750,"Colorado","UGAMS-10616","BONE","Lemmiscus curtatus","PALEONTOLOGICAL","Gunnison",NA,NA,6320,30,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 14","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",6320,30,"Cement Creek Cave"
"2789",53751,"Colorado","UGAMS-10621","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,22110,55,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 14","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",22110,55,"Cement Creek Cave"
"2790",53752,"Colorado","UGAMS-10622","BONE","Lepus americanus","PALEONTOLOGICAL","Gunnison",NA,NA,8070,30,NA,"5GN?","Cement Creek Cave",38.668937,-107.013567,"Level 15","TP2 NE","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",8070,30,"Cement Creek Cave"
"2791",53753,"Colorado","UGAMS-10623","BONE","Centrocercus sp.","PALEONTOLOGICAL","Gunnison",NA,NA,29660,80,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"H3b, level 5","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",29660,80,"Haystack Cave"
"2792",53754,"Colorado","UGAMS-11271","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,13390,45,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"N2d, level 22","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",13390,45,"Haystack Cave"
"2793",53755,"Colorado","UGAMS-11272","BONE","Marmota <U+FB02>aviventris","PALEONTOLOGICAL","Gunnison",NA,NA,20220,50,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"N2c, level 12","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",20220,50,"Haystack Cave"
"2794",53756,"Colorado","UGAMS-18966","BONE","Euceratherium colinum","PALEONTOLOGICAL","Gunnison",NA,NA,20330,45,NA,"5GN189","Haystack Cave",38.668937,-107.013567,NA,"I3c, level 12","AMS",NA,"Emslie and Meltzer 2019-Late Quaternary Vertebrates from…","Plateau",20330,45,"Haystack Cave"
"2795",53757,"Colorado","Y-28","BONE","collagen, cervid","PALEONTOLOGICAL","Gunnison",NA,NA,9755,45,NA,"5GN2477","Mountaineer",38.668937,-107.013567,NA,"Block D, N537.042, E608.342",NA,NA,"Andrews et al 2021, The Mountaineer Site","Plateau",9755,45,"Mountaineer"
"2796",55324,"Colorado","Beta-12980","WOOD",NA,"ARCHAEOLOGICAL","Delta",NA,NA,1280,70,-25,"5DT2","Christmas Rockshelter",38.862219,-107.861186,NA,"wood from Feature 6.",NA,NA,"BUCKLES 1971","Plateau",1280,70,"Christmas Rockshelter"
"2797",55325,"Colorado","Beta-13055","OTHER",NA,"ARCHAEOLOGICAL","Delta",NA,NA,6660,100,-25,"5DT2","Christmas Rockshelter",38.862219,-107.861186,NA,"organics from Feature 12.",NA,NA,"BUCKLES 1971","Plateau",6660,100,"Christmas Rockshelter"
"2799",55328,"Colorado","Beta-13995","WOOD",NA,"ARCHAEOLOGICAL","Delta",NA,NA,1300,70,-25,"5DT2","Christmas Rockshelter",38.862219,-107.861186,NA,"wood from Feature 8.",NA,NA,"BUCKLES 1971","Plateau",1300,70,"Christmas Rockshelter"
"2801",55330,"Colorado","Beta-161043","SEDIMENT",NA,"GEOLOGICAL","Delta",NA,NA,1330,40,NA,"5DT853","Fool's Hill site",38.862219,-107.861186,NA,"Non-cultural, From Soil Horizon A, 4 - 8 cm bmgs.",NA,NA,"SLESSMAN ET AL.  2002","Plateau",1330,40,"Fool's Hill site"
"2803",55332,"Colorado","Beta-164655","SEDIMENT",NA,"GEOLOGICAL","Delta",NA,NA,3160,40,NA,"5DT853","Fool's Hill site",38.862219,-107.861186,NA,"Soil sample from Soil Horizon AB, 15 - 18 cm bmgs.",NA,NA,"Slessman et al.  2002","Plateau",3160,40,"Fool's Hill site"
"2804",55333,"Colorado","Beta-164656","SEDIMENT",NA,"GEOLOGICAL","Delta",NA,NA,6840,40,NA,"5DT853","Fool's Hill site",38.862219,-107.861186,NA,"Soil sample from Soil Horizon Btk, 19.5 - - 23 cm bmgs.",NA,NA,"SLESSMAN ET AL.  2002","Plateau",6840,40,"Fool's Hill site"
"2805",55334,"Colorado","Beta-18088","WOOD",NA,"ARCHAEOLOGICAL","Delta",NA,NA,140,50,-25,"5DT271","Roatcap Game Trail Site",38.862219,-107.861186,NA,"Component 1, a slab-lined hearth, surrounded by some bone and debitage. Sample is from the S edge of the feature, beneath the burned sod that is thought to represent a historic brush fire. None of the 3 dates from Component 1 appears to be reliable. I have given it a credibility level of None.",NA,NA,"REED AND METCALF 1999","Plateau",140,50,"Roatcap Game Trail Site"
"2806",55335,"Colorado","Beta-18089","CHARCOAL",NA,"ARCHAEOLOGICAL","Delta",NA,NA,1190,60,-25,"5DT271","Roatcap Game Trail Site",38.862219,-107.861186,NA,"Charcoal from  a sample of charcoal in an ash heap on the living floor adjacent to the Component 2 hearth.",NA,NA,"Reed and Metcalf 1999","Plateau",1190,60,"Roatcap Game Trail Site"
"2807",55337,"Colorado","Beta-183533","CHARCOAL",NA,NA,"Delta",NA,NA,4100,40,-25,"5DT2","Christmas Rockshelter",38.862219,-107.861186,NA,NA,NA,NA,"BUCKLES 1971","Plateau",4100,40,"Christmas Rockshelter"
"2808",55339,"Colorado","Beta-20209","WOOD",NA,"ARCHAEOLOGICAL","Delta",NA,NA,70,60,-25,"5DT271","Roatcap Game Trail Site",38.862219,-107.861186,NA,"wood from the Component 1 slab-lined hearth. All three dates from Component 1 are suspect, mainly because of the wide spread area of burned brush/trees that is thought to have resulted from a modern brush fire. I have given it a credibility level of None.",NA,NA,"REED AND METCALF 1999","Plateau",70,60,"Roatcap Game Trail Site"
"2809",55340,"Colorado","Beta-234858","CHARCOAL",NA,"ARCHAEOLOGICAL","Delta",NA,NA,1480,40,-21.4,"5DT813","Eagle Rock Shelter",38.862219,-107.861186,NA,"Feature 1 stratigraphic level, Formative occupation",NA,NA,"HADDEN PERSONAL COMMUNICATION 2011","Plateau",1480,40,"Eagle Rock Shelter"
